filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
(1673).jpg,239457,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[663,727,714,676,662,688,697,725,753,754,735,776,772],""all_points_y"":[717,665,650,645,625,614,598,596,594,612,617,681,714]}","{""nombre"":""Negra\n""}"
(1674).jpg,242104,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[490,475,496,553,590,620,610,588,564,571,558,555,540,520,536,519,517,505,497,501,500,493,499],""all_points_y"":[520,437,413,399,421,438,457,454,448,474,479,464,494,492,471,471,516,519,490,484,473,500,514]}","{""nombre"":""ColoradaOscura\n""}"
(1674).jpg,242104,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[972,968,981,998,1054,1069,1082,1078,1066,1058,1046,1053,1038,1031,1014,1021,1015,1006,1000,1007,995,986],""all_points_y"":[363,343,297,277,281,315,327,355,361,355,352,341,329,352,349,331,331,351,349,338,341,363]}","{""nombre"":""Colorada\n""}"
(1674).jpg,242104,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[840,850,785,778,811,828,863,856,907,906],""all_points_y"":[713,699,676,658,645,627,630,645,693,712]}","{""nombre"":""Negra""}"
(1675).jpg,240535,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[437,425,444,481,491,511,520,544,553,554,547,532,527,506,504,511,504,498,481,471,481,469,464,467,461,453,454,448,446,445,452,441],""all_points_y"":[521,445,421,412,400,403,420,427,442,455,458,457,453,450,460,472,480,468,499,502,477,479,498,524,533,516,487,476,496,509,525,537]}","{""nombre"":""ColoradaOscura\n""}"
(1675).jpg,240535,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[796,832,818,789,767,765,784,786,807,834,841,822,856,898,901],""all_points_y"":[714,656,643,652,647,627,618,602,590,579,593,603,613,659,712]}","{""nombre"":""Negra\n""}"
(1675).jpg,240535,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[884,895,915,907,917,920,927,926,939,936,955,976,970,971,952,945,897,875,867],""all_points_y"":[322,288,282,308,308,289,286,309,306,287,306,309,293,277,268,239,237,248,322]}","{""nombre"":""Colorada\n""}"
(1676).jpg,235169,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[432,425,417,437,494,518,539,545,536,523,512,504,505,495,490,480,465,472,462,460,444,444,443,440,439],""all_points_y"":[477,446,395,370,352,370,377,400,405,413,400,410,432,436,426,447,450,428,433,482,469,447,436,440,473]}","{""nombre"":""ColoradaOscura\n""}"
(1676).jpg,235169,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[898,899,915,906,915,917,926,935,930,931,938,951,971,968,960,950,890,880,877],""all_points_y"":[260,239,236,258,259,250,265,260,247,238,252,263,264,244,223,185,187,234,260]}","{""nombre"":""Colorada\n""}"
(1676).jpg,235169,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[825,809,842,812,852,876,866,901,917,915],""all_points_y"":[709,640,592,523,512,536,545,588,664,713]}","{""nombre"":""Negra""}"
(1677).jpg,246873,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[469,457,472,463,472,486,491,502,495,515,541,541,533,510,480,400,422],""all_points_y"":[459,405,412,434,437,404,414,409,385,388,400,372,341,345,327,369,463]}","{""nombre"":""ColoradaOscura\n""}"
(1677).jpg,246873,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[900,918,905,911,961,968,931,882,894,866,810,824,826,900],""all_points_y"":[701,602,575,554,559,547,491,491,513,521,600,686,713,716]}","{""nombre"":""Negra\n""}"
(1677).jpg,246873,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[891,897,915,907,929,929,936,944,946,977,973,965,955,897,869,867],""all_points_y"":[244,222,216,238,241,220,218,228,248,248,219,209,161,162,211,241]}","{""nombre"":""Colorada\n""}"
(1678).jpg,233104,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[334,319,333,380,410,426,449,453,448,425,401,405,394,385,381,370,376,365,369],""all_points_y"":[565,480,457,435,438,426,434,454,466,463,485,509,518,510,536,542,512,517,569]}","{""nombre"":""ColoradaOscura\n""}"
(1678).jpg,233104,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[761,768,785,785,799,803,813,818,832,842,830,821,797,754,744],""all_points_y"":[326,298,294,320,317,297,303,318,318,303,290,256,245,253,321]}","{""nombre"":""Colorada\n""}"
(1678).jpg,233104,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[785,821,834,859,867,875,853,819,835,786,737,735],""all_points_y"":[715,649,586,586,573,553,532,531,545,550,605,715]}","{""nombre"":""Negra\n""}"
(1679).jpg,229861,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[396,392,409,395,407,419,426,429,427,429,449,463,476,473,479,456,437,414,364,352,358,380,374,378,382],""all_points_y"":[520,465,456,484,485,466,471,467,442,435,423,431,422,416,403,389,397,386,409,432,520,518,464,465,516]}","{""nombre"":""ColoradaOscura""}"
(1679).jpg,229861,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[767,772,790,791,804,808,819,823,843,846,834,823,762,751],""all_points_y"":[294,272,269,292,292,266,273,293,295,264,256,225,223,293]}","{""nombre"":""Colorada""}"
(1679).jpg,229861,"{}",4,2,"{""name"":""polygon"",""all_points_x"":[784,833,878,880,898,895,925,962,979,967,946,933,893,862,810,779,777,783,769,768],""all_points_y"":[648,563,544,562,559,534,494,492,482,451,440,454,454,467,485,515,531,588,606,650]}","{""nombre"":""Negra\n""}"
(1679).jpg,229861,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[993,1007,1039,1047,1049,1071,1063,1085,1090,1107,1111,1095,1082,1041,999,980,965],""all_points_y"":[666,647,607,610,645,634,610,565,582,579,529,523,498,504,533,584,671]}","{""nombre"":""PatasBlancas \n""}"
(1680).jpg,218978,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[405,413,419,436,436,450,449,465,474,465,487,503,499,479,439,393,380],""all_points_y"":[703,701,644,638,657,649,624,653,643,615,633,623,595,578,557,590,698]}","{""nombre"":""ColoradaOscura\n""}"
(1680).jpg,218978,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[768,773,793,791,810,810,822,837,841,834,824,762,757],""all_points_y"":[480,458,455,476,476,458,472,478,459,444,416,416,478]}","{""nombre"":""Colorada\n""}"
(1680).jpg,218978,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[834,868,927,960,983,1002,1019,1015,1015,987,976,985,976,950,955,927,922,908,912],""all_points_y"":[712,636,608,595,608,605,636,644,651,646,653,676,692,695,668,702,712,711,703]}","{""nombre"":""Negra\n""}"
(1681).jpg,212869,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[434,440,450,450,463,466,471,479,480,490,503,523,523,501,487,435,412,406,407],""all_points_y"":[717,659,659,680,675,643,682,680,639,634,660,642,631,611,584,594,622,693,712]}","{""nombre"":""ColoradaOscura""}"
(1681).jpg,212869,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[768,766,788,787,802,801,814,818,842,838,822,815,755,747,753],""all_points_y"":[519,488,487,512,506,485,490,508,506,483,472,447,448,499,515]}","{""nombre"":""Colorada\n""}"
(1681).jpg,212869,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[880,901,935,1008,1046,1035,1007,996],""all_points_y"":[706,636,629,627,636,663,697,717]}","{""nombre"":""Negra\n""}"
(1682).jpg,215846,"{}",0,0,"{}","{}"
(1683).jpg,234945,"{}",0,0,"{}","{}"
(1684).jpg,229542,"{}",0,0,"{}","{}"
(1685).jpg,214255,"{}",0,0,"{}","{}"
(1686).jpg,225547,"{}",0,0,"{}","{}"
(1687).jpg,237018,"{}",0,0,"{}","{}"
(1688).jpg,225140,"{}",0,0,"{}","{}"
(1689).jpg,231424,"{}",0,0,"{}","{}"
